"signature","type","channel","fraction"
"CN1","0","0:homdel:0-100kb",0.001795054
"CN1","0","0:homdel:100kb-1Mb",0.003807104
"CN1","0","0:homdel:>1Mb",0.002436746
"CN1","1","1:LOH:0-100kb",0.002840449
"CN1","1","1:LOH:100kb-1Mb",0.012263057
"CN1","1","1:LOH:1Mb-10Mb",0.019163418
"CN1","1","1:LOH:10Mb-40Mb",0.047297757
"CN1","1","1:LOH:>40Mb",0.073645999
"CN1","2","2:LOH:0-100kb",0.001187984
"CN1","2","2:LOH:100kb-1Mb",0.004303102
"CN1","2","2:LOH:1Mb-10Mb",0.004438013
"CN1","2","2:LOH:10Mb-40Mb",0.00431859
"CN1","2","2:LOH:>40Mb",0.012215654
"CN1","3-4","3-4:LOH:0-100kb",0.001379947
"CN1","3-4","3-4:LOH:100kb-1Mb",0.001667853
"CN1","3-4","3-4:LOH:1Mb-10Mb",0.001514284
"CN1","3-4","3-4:LOH:10Mb-40Mb",0.000102203
"CN1","3-4","3-4:LOH:>40Mb",0.007367609
"CN1","5-8","5-8:LOH:0-100kb",0.000351298
"CN1","5-8","5-8:LOH:100kb-1Mb",0.000212107
"CN1","5-8","5-8:LOH:1Mb-10Mb",0.000207783
"CN1","5-8","5-8:LOH:10Mb-40Mb",9.97e-05
"CN1","5-8","5-8:LOH:>40Mb",0.000331938
"CN1","9+","9+:LOH:0-100kb",0.000133995
"CN1","9+","9+:LOH:100kb-1Mb",0.000411988
"CN1","9+","9+:LOH:1Mb-10Mb",0.00020077
"CN1","9+","9+:LOH:10Mb-40Mb",6.51e-06
"CN1","9+","9+:LOH:>40Mb",2.76e-06
"CN1","2","2:het:0-100kb",0.000126855
"CN1","2","2:het:100kb-1Mb",0.002392692
"CN1","2","2:het:1Mb-10Mb",0.017226427
"CN1","2","2:het:10Mb-40Mb",0.112043886
"CN1","2","2:het:>40Mb",0.647548237
"CN1","3-4","3-4:het:0-100kb",0.000986437
"CN1","3-4","3-4:het:100kb-1Mb",0.003623147
"CN1","3-4","3-4:het:1Mb-10Mb",0.001734587
"CN1","3-4","3-4:het:10Mb-40Mb",0.003009542
"CN1","3-4","3-4:het:>40Mb",0.005373925
"CN1","5-8","5-8:het:0-100kb",0.000741212
"CN1","5-8","5-8:het:100kb-1Mb",0.00011638
"CN1","5-8","5-8:het:1Mb-10Mb",0.000204002
"CN1","5-8","5-8:het:10Mb-40Mb",1.93e-05
"CN1","5-8","5-8:het:>40Mb",0.000525662
"CN1","9+","9+:het:0-100kb",0.000105258
"CN1","9+","9+:het:100kb-1Mb",0.000318177
"CN1","9+","9+:het:1Mb-10Mb",0.000187035
"CN1","9+","9+:het:10Mb-40Mb",1.74e-06
"CN1","9+","9+:het:>40Mb",1.18e-05
"CN2","0","0:homdel:0-100kb",0.002237674
"CN2","0","0:homdel:100kb-1Mb",0.007195788
"CN2","0","0:homdel:>1Mb",0.003837108
"CN2","1","1:LOH:0-100kb",0.002826536
"CN2","1","1:LOH:100kb-1Mb",0.006323915
